Indicator,  Merchandise exports by product group and destination – annual (Million US dollar),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North American Free Trade Agreement (NAFTA),SI3_AGG - AGFOOF - Other food products,South and Central America and the Caribbean,,,4886,5190,5253,5372,5965,6359,7237,9841,14083,10838,12236,14089,14854,17286,18783,16567,16592,17178,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGFOOF - Other food products,United States of America,,,,,,,,,,26541,29957,26852,30062,35364,36347,39767,42287,42401,43975,47339,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,World,,,35149,31281,30394,32396,38074,39060,41589,43718,43165,33207,46240,54728,51800,53719,52923,48081,47025,51306,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Africa,,,258,250,219,241,271,328,377,490,612,521,701,823,817,812,801,696,573,614,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Asia,,,10695,9684,9642,11324,13163,13301,15734,17218,18202,15373,22597,28491,27362,28257,26454,23774,22746,26002,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Australia and New Zealand,,,217,143,156,162,187,178,198,250,272,205,237,267,261,263,270,250,242,245,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Brazil,,,,,,,,,,473,508,414,585,1020,644,577,534,456,476,471,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,China,,,1386,1694,2047,3235,4533,5146,6889,7565,8092,7502,11993,15945,16573,16543,14845,13061,12332,13796,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,"Commonwealth of Independent States (CIS), including associate and former member States",,,21,19,17,25,42,70,87,99,168,147,170,175,195,205,167,139,139,126,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Europe,,,6307,5170,5062,5464,5781,6090,6182,7106,6580,4819,6386,7291,6322,6409,6490,5917,5827,6148,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Extra NAFTA Trade,,,18905,16532,16289,18556,21070,21675,24535,27482,28313,22985,32808,40541,37782,38639,36857,33267,31835,35589,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Four East Asian traders,,,3115,2806,2794,3003,3057,2905,3127,3398,3356,2606,3733,4119,3812,3916,3581,3420,2767,2860,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,India,,,203,370,272,382,303,347,433,607,625,663,790,931,921,915,1160,935,1058,1363,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Japan,,,4448,3445,2980,2955,3206,2948,3172,2844,2911,2074,2731,3041,2866,3136,2977,2609,2502,2635,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Least-developed countries,,,,,,,,,,260,380,356,432,668,411,399,392,333,325,533,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Mexico,,,,,,,,,,2723,3247,2206,2974,3396,2903,2950,3037,2928,2832,3003,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Middle East,,,288,259,253,266,313,323,365,530,590,402,565,623,558,543,563,554,512,498,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Non-EU south-eastern Europe,,,322,279,370,539,609,708,708,1040,824,711,1201,1616,1061,1253,1191,925,863,1113,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Non-EU western Europe,,,111,88,75,81,103,103,111,94,83,41,54,47,53,45,41,41,40,51,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,North America,,,16280,14754,14110,13846,17012,17393,17063,16244,14859,10229,13438,14192,14022,15083,16071,14819,15195,15722,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,North American Free Trade Agreement (NAFTA),,,16244,14749,14105,13840,17004,17385,17054,16236,14852,10222,13432,14187,14018,15079,16066,14815,15190,15717,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Other Africa,,,192,203,174,193,210,264,317,418,542,464,635,733,744,745,726,627,508,540,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Other Asia,,,1326,1226,1393,1587,1877,1777,1915,2554,2946,2323,3113,4188,2928,3484,3621,3499,3844,5103,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Other CIS,,,7,12,8,5,5,9,15,18,36,35,40,44,51,47,49,46,54,48,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,Russian Federation,,,14,7,9,20,37,61,72,81,132,112,130,131,144,157,118,93,85,79,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,South Africa,,,66,47,45,48,61,64,60,72,70,57,66,89,74,67,75,68,64,74,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,South and Central America and the Caribbean,,,1293,1143,1087,1230,1481,1508,1754,2005,2139,1711,2378,3122,2511,2391,2341,2151,2005,2155,
North American Free Trade Agreement (NAFTA),SI3_AGG - AGRA - Raw materials,United States of America,,,,,,,,,,10417,8547,5592,7556,7647,7933,9015,9862,9029,9653,10019,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,World,,,963169,898512,864624,888193,1002577,1101493,1223307,1325740,1389003,1128498,1352219,1500522,1582159,1616249,1686926,1647988,1601436,1666384,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Africa,,,7639,9438,7649,7655,9757,12054,14676,17607,20323,18563,19914,21679,23744,23545,26784,21382,17273,15532,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Asia,,,180598,161385,159467,167679,185139,199147,226244,244784,255387,218147,273415,300154,308123,316734,328420,321758,315797,338321,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Australia and New Zealand,,,13380,12308,14010,13946,14849,17049,19314,20566,23335,19356,22521,28138,31757,26863,27743,26444,23169,25850,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Brazil,,,,,,,,,,24113,32903,26055,34345,40396,41239,40848,37793,30661,27242,30861,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,China,,,14076,16891,19708,22526,26283,31814,40094,46759,49305,47211,61019,68019,69174,81600,87732,86378,85372,94069,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,"Commonwealth of Independent States (CIS), including associate and former member States",,,2234,2640,3029,2966,3867,4848,6484,9549,12273,6812,8026,11221,13610,14908,14535,9182,9194,9852,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Europe,,,167326,161809,146246,155014,174561,189478,214140,246605,265339,217352,231717,250412,247828,249072,264930,268105,270889,280247,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Extra NAFTA Trade,,,429283,408717,383064,395598,448040,499989,574853,655167,719789,594952,692875,770223,799644,808600,833381,803262,776757,806785,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Four East Asian traders,,,74476,62139,60094,61516,72310,75633,84043,89457,87460,72792,94635,101669,101013,103134,107643,107213,104339,111931,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,India,,,3288,3234,3730,4536,5431,6659,8359,12635,16675,14156,16242,18221,16320,18263,17739,16649,17218,18987,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Japan,,,48140,43148,38336,38683,39626,41099,43925,44672,44948,35999,42293,44708,50494,46486,47525,46018,46979,47741,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Least-developed countries,,,,,,,,,,4431,5607,6009,7619,9193,8196,8224,8786,6706,5098,5157,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Mexico,,,,,,,,,,108293,115142,102321,125599,144184,160334,171011,182157,185588,180368,185100,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Middle East,,,15559,16068,16022,16328,20166,28460,33112,39699,47983,39980,42569,49445,62078,63821,65651,64177,59745,54251,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Non-EU south-eastern Europe,,,2920,2385,2284,1923,2294,2841,3751,4110,5392,4562,6426,7538,6225,6068,6817,6496,6787,5913,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Non-EU western Europe,,,8082,8106,6940,7095,8941,10059,11977,13714,14506,13429,13747,14761,14763,17442,18291,17632,18034,20016,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,North America,,,534963,490086,481924,492906,555260,601904,648923,671624,669836,534136,659716,730642,782892,807922,853885,845152,825124,860020,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,North American Free Trade Agreement (NAFTA),,,533886,489795,481560,492595,554537,601504,648454,670573,669214,533546,659344,730299,782515,807649,853544,844726,824679,859599,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Other Africa,,,5044,6719,5412,5069,6841,8334,10241,12377,14402,14516,15237,15649,16997,17637,20792,16116,13118,11214,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Other Asia,,,27238,23665,23589,26472,26640,26893,30509,30695,33664,28633,36705,39399,39366,40388,40037,39057,38719,39743,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Other CIS,,,737,821,1170,941,1536,1628,2167,2862,4033,2478,2436,3169,3610,4138,4063,2073,3266,2662,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,Russian Federation,,,1497,1819,1859,2025,2331,3220,4317,6687,8240,4334,5590,8052,10000,10770,10472,7109,5928,7191,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,South Africa,,,2595,2719,2237,2586,2916,3720,4435,5230,5921,4047,4677,6029,6746,5909,5992,5266,4155,4318,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,South and Central America and the Caribbean,,,54659,54496,46611,45619,53650,65364,79219,95160,117482,93266,116604,135868,142731,138790,131009,116245,101709,106951,
North American Free Trade Agreement (NAFTA),SI3_AGG - MA - Manufactures,United States of America,,,,,,,,,,354166,342774,261546,326723,358328,384852,398791,429299,434341,428067,446707,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,World,,,102727,102784,104474,117139,138814,154619,174087,199779,228925,197743,234109,260868,259018,261774,265427,257040,244990,253977,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Africa,,,930,1183,930,945,1182,1244,1584,2015,2309,2209,2503,2938,3151,3183,3127,2861,2496,2545,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Asia,,,23886,22584,24001,26761,31397,33706,36288,42945,52288,45021,57677,63820,61167,59960,60065,57515,56959,61390,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Australia and New Zealand,,,2153,2166,2008,2190,2323,2637,2670,3048,3969,3613,3931,4109,4222,4204,4073,4121,3649,4239,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Brazil,,,,,,,,,,6059,8534,6480,9423,11638,11013,11819,11470,9728,8855,9510,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,China,,,2843,2817,3636,4314,5485,6658,7549,10297,11387,11106,14156,16397,14933,15570,15674,15450,15466,17493,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,"Commonwealth of Independent States (CIS), including associate and former member States",,,314,428,440,427,382,491,590,813,1087,805,1193,1374,1448,1560,1272,1187,968,1159,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Europe,,,25971,26777,27516,32576,39494,42744,48937,58487,63410,58979,63162,64501,63399,63951,66292,69659,65756,65696,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Extra NAFTA Trade,,,62820,63263,63990,72312,86118,93475,105537,127238,148996,130483,155359,169581,166868,167400,167824,164586,156315,162164,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Four East Asian traders,,,8929,7884,8459,9540,12038,12049,12928,14805,15120,13170,17756,19690,18672,18729,18505,16984,16569,17200,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,India,,,632,607,808,1204,1084,1189,1313,1704,5825,3800,4386,4951,3842,3668,3487,3667,3872,4275,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Japan,,,6800,6731,6798,7053,7820,8318,8813,9537,11093,9331,12188,12388,13144,11541,12178,11242,11811,11987,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Least-developed countries,,,,,,,,,,280,328,377,414,486,653,590,627,540,409,421,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Mexico,,,,,,,,,,17029,19444,17394,20402,23874,26287,27091,28377,26713,25649,27694,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Middle East,,,1120,1269,1177,1324,1613,1783,1944,2722,3219,2885,3660,3830,4230,4467,4507,4419,4310,4572,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Non-EU south-eastern Europe,,,372,300,273,379,509,508,629,914,840,801,1026,1159,1075,1252,1211,895,758,1008,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Non-EU western Europe,,,1757,1579,1576,1817,2441,2688,3206,3862,4115,4021,3567,3906,2984,3378,3822,3996,3435,3522,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,North America,,,40126,39563,40522,44859,53057,61178,68580,72575,79967,67297,78789,91325,92186,94409,97636,92484,88710,91850,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,North American Free Trade Agreement (NAFTA),,,39907,39521,40484,44827,52696,61144,68550,72541,79929,67260,78750,91286,92150,94374,97603,92454,88675,91813,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Other Africa,,,428,719,483,492,680,666,860,1248,1374,1563,1680,1957,2158,2228,2235,1920,1650,1671,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Other Asia,,,2529,2379,2292,2460,2647,2855,3015,3554,4894,4001,5260,6285,6354,6249,6148,6050,5592,6195,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Other CIS,,,68,66,58,107,119,128,159,205,270,209,260,271,272,418,346,227,240,289,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,Russian Federation,,,246,362,382,320,263,363,431,608,817,596,933,1103,1175,1142,926,960,728,870,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,South Africa,,,502,464,447,453,502,578,724,767,935,646,823,981,993,955,891,941,846,874,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,South and Central America and the Caribbean,,,10323,10951,9858,10245,11670,13462,16083,20101,26557,20472,27042,32891,33258,34140,32386,28786,25657,26651,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACH - Chemicals,United States of America,,,,,,,,,,29633,32561,24921,29282,34685,33359,33950,35085,34190,32755,32271,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,World,,,87500,84827,85621,94346,110285,123795,138806,158511,182928,145637,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Africa,,,822,1039,820,801,967,1000,1293,1784,2056,1879,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Asia,,,21725,20158,21463,24055,28417,29995,32405,38669,47623,38817,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Australia and New Zealand,,,1793,1808,1559,1653,1704,1869,1923,2122,3043,2320,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Brazil,,,,,,,,,,5319,7653,5572,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,China,,,2768,2730,3481,4158,5353,6440,7280,9909,10903,10554,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,"Commonwealth of Independent States (CIS), including associate and former member States",,,290,377,395,371,328,417,457,666,924,677,1011,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Europe,,,18300,17339,17513,20024,22310,24915,28832,34310,35037,27923,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Extra NAFTA Trade,,,51296,49435,49512,55028,63642,69358,78638,95387,112159,89258,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Four East Asian traders,,,8506,7375,7968,9054,11496,11217,12130,13889,14180,11918,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,India,,,591,538,753,1130,985,1096,1219,1581,5671,3595,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Japan,,,5711,5537,5609,5812,6454,6787,7102,7900,9256,6822,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Least-developed countries,,,,,,,,,,235,279,290,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Mexico,,,,,,,,,,16322,18496,16162,18939,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Middle East,,,927,1036,932,1070,1310,1484,1563,2265,2680,2249,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Non-EU south-eastern Europe,,,289,230,208,305,391,392,513,806,715,642,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Non-EU western Europe,,,1060,1028,965,696,863,906,1077,1279,1317,1269,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,North America,,,36303,35404,36124,39332,46660,54458,60191,63148,70796,56405,68160,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,North American Free Trade Agreement (NAFTA),,,36204,35392,36109,39318,46643,54437,60168,63124,70769,56379,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Other Africa,,,375,633,417,410,529,505,693,1109,1243,1327,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Other Asia,,,2356,2170,2093,2248,2425,2586,2751,3268,4570,3608,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Other CIS,,,59,52,40,82,100,98,101,144,190,146,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,Russian Federation,,,231,325,355,289,228,319,356,522,734,531,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,South Africa,,,447,406,403,391,438,495,600,675,813,552,,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,South and Central America and the Caribbean,,,9079,9447,8345,8691,10274,11516,13990,17551,23724,17613,22844,,,,,,,,
North American Free Trade Agreement (NAFTA),SI3_AGG - MACHOC - Other chemicals,United States of America,,,,,,,,,,24515,27713,19908,,,,,,,,,
North Macedonia,SI3_AGG - AG - Agricultural products,World,239,248,220,203,217,245,272,350,404,483,513,504,563,658,622,676,652,546,594,614,648
North Macedonia,SI3_AGG - AGFO - Food,World,211,228,198,189,204,229,255,334,386,459,489,490,545,630,597,648,628,522,567,584,618
North Macedonia,SI3_AGG - MA - Manufactures,World,946,791,918,809,787,978,1271,1462,1666,2551,3093,1369,2281,3163,2883,3243,3967,3682,3946,4667,5783
North Macedonia,SI3_AGG - MACH - Chemicals,World,65,55,60,60,69,70,80,91,100,132,124,120,382,747,680,838,1054,1022,1146,1358,1673
Norway,SI3_AGG - AG - Agricultural products,World,4507,4560,4244,4093,4361,4509,5115,5930,6604,7508,8304,8203,10120,10957,10494,12126,12701,10790,12391,12956,13828
Norway,SI3_AGG - AGFO - Food,World,4026,4115,3827,3672,3905,4024,4608,5415,6013,6822,7549,7595,9445,10141,9657,11197,11696,9932,11602,12136,12944
Norway,SI3_AGG - MA - Manufactures,World,14379,14490,13317,14525,14994,17158,18448,18793,19530,24544,28959,24179,23837,24505,23981,25201,25247,22560,20348,19338,20127
Norway,SI3_AGG - MACH - Chemicals,World,2854,2857,2948,3065,3201,3760,4380,4930,5526,6809,7810,5916,7426,8166,6997,7065,7220,6414,5894,6611,7349
Oman,SI3_AGG - AG - Agricultural products,World,344,337,401,682,708,567,509,510,465,542,970,816,987,1107,1138,1428,1215,1541,1407,1685,1866
Oman,SI3_AGG - AGFO - Food,World,343,336,399,681,706,565,508,508,464,541,966,808,980,1102,1125,1414,1207,1524,1398,1657,1834
Oman,SI3_AGG - MA - Manufactures,World,1296,1219,1347,1336,1683,1566,873,1147,1513,2170,3106,3367,4163,5964,5706,5639,5332,4950,4183,6010,7454
Oman,SI3_AGG - MACH - Chemicals,World,67,82,93,103,112,123,147,302,427,743,1274,1445,2509,3857,3475,3132,3329,2684,1898,2739,3151
Other Africa,SI3_AGG - AG - Agricultural products,World,,,14968,14853,15768,19476,22379,23262,25684,29021,34559,36351,40797,48491,59709,54124,50448,48330,49848,53097,
Other Africa,SI3_AGG - AG - Agricultural products,Africa,,,2674,2701,2714,3762,4244,4379,4982,5988,6805,7498,8999,11470,12561,12474,12604,11317,10843,12332,
Other Africa,SI3_AGG - AG - Agricultural products,Asia,,,2368,2222,2215,2894,3478,3421,3949,3868,4726,4714,6247,7867,12376,10679,11358,9830,10735,11075,
Other Africa,SI3_AGG - AG - Agricultural products,Australia and New Zealand,,,47,46,77,115,122,122,108,144,136,135,214,255,309,261,276,170,164,190,
Other Africa,SI3_AGG - AG - Agricultural products,Brazil,,,81,37,36,49,25,31,62,134,158,157,148,260,341,192,171,145,323,340,
Other Africa,SI3_AGG - AG - Agricultural products,China,,,368,375,360,638,824,1073,1097,1094,1169,1338,1779,2236,3790,2724,3014,2341,2279,3015,
Other Africa,SI3_AGG - AG - Agricultural products,"Commonwealth of Independent States (CIS), including associate and former member States",,,163,186,264,297,332,424,361,459,697,645,694,1043,907,1116,930,864,822,919,
Other Africa,SI3_AGG - AG - Agricultural products,Europe,,,8136,8196,8855,10534,11833,12230,13466,15420,17315,16507,17441,19409,23647,22314,18953,18939,19778,20287,
Other Africa,SI3_AGG - AG - Agricultural products,Four East Asian traders,,,312,347,290,405,416,307,319,363,372,398,490,770,1532,1056,1095,915,936,1027,
Other Africa,SI3_AGG - AG - Agricultural products,India,,,464,399,418,456,530,518,457,621,884,802,1064,1231,1941,1624,2194,2824,2650,1770,
Other Africa,SI3_AGG - AG - Agricultural products,Japan,,,683,546,577,523,565,562,659,516,726,586,591,844,1782,1626,1270,701,767,772,
Other Africa,SI3_AGG - AG - Agricultural products,Least-developed countries,,,975,923,1386,1802,1914,2063,2507,2686,3178,3559,4456,4946,5917,5938,6106,5675,5186,5760,
Other Africa,SI3_AGG - AG - Agricultural products,Mexico,,,16,19,22,19,26,17,22,38,50,64,105,95,98,82,125,104,101,119,
Other Africa,SI3_AGG - AG - Agricultural products,Middle East,,,689,615,730,846,958,1147,1317,1489,2429,3299,3878,4430,3950,4617,3823,4409,4327,4773,
Other Africa,SI3_AGG - AG - Agricultural products,Non-EU south-eastern Europe,,,155,129,180,164,290,250,315,408,479,552,575,581,607,931,813,883,872,933,
Other Africa,SI3_AGG - AG - Agricultural products,Non-EU western Europe,,,292,270,206,239,309,346,414,460,528,577,448,496,585,538,466,332,318,399,
Other Africa,SI3_AGG - AG - Agricultural products,North America,,,712,738,838,934,1169,1303,1235,1249,1725,1828,2028,2611,3183,2394,2252,2430,2641,2974,
Other Africa,SI3_AGG - AG - Agricultural products,Other Africa,,,1989,2005,2217,3123,3422,3558,3979,4916,5858,6531,7682,9488,10057,10031,10407,9336,8868,10093,
Other Africa,SI3_AGG - AG - Agricultural products,Other Asia,,,495,509,495,757,1020,838,1309,1130,1439,1455,2110,2532,3023,3388,3509,2879,3938,4302,
Other Africa,SI3_AGG - AG - Agricultural products,Other CIS,,,9,21,13,31,63,60,83,93,191,152,172,264,246,361,180,156,140,117,
Other Africa,SI3_AGG - AG - Agricultural products,Russian Federation,,,153,164,251,267,269,364,277,366,506,493,522,779,661,755,750,707,682,802,
Other Africa,SI3_AGG - AG - Agricultural products,Six East Asian traders,,,466,488,433,606,722,593,617,739,938,825,1011,1719,2659,2503,2326,1963,2212,2678,
Other Africa,SI3_AGG - AG - Agricultural products,South Africa,,,685,696,498,639,822,821,1004,1073,947,967,1317,1982,2504,2443,2197,1981,1974,2239,
Other Africa,SI3_AGG - AG - Agricultural products,South and Central America and the Caribbean,,,133,70,64,96,68,74,115,219,404,1614,1022,1400,2817,321,279,249,450,448,
Other Africa,SI3_AGG - AG - Agricultural products,United States of America,,,636,670,756,844,1003,1184,1062,1043,1479,1555,1677,2223,2866,1979,1889,2048,2223,2281,
Other Africa,SI3_AGG - AGFO - Food,World,,,11438,11616,12385,14858,17192,17944,19908,22648,27466,30155,32717,38808,42231,41696,40817,40523,42124,45158,
Other Africa,SI3_AGG - AGFO - Food,Africa,,,2074,2377,2264,2894,3373,3574,4108,5044,5912,6611,7922,10073,11229,11442,11628,10478,10108,11522,
Other Africa,SI3_AGG - AGFO - Food,Asia,,,1404,1232,1104,1337,1679,1792,2035,2106,2599,2782,3471,4427,5795,5487,6429,6249,6793,7096,
Other Africa,SI3_AGG - AGFO - Food,Australia and New Zealand,,,43,43,71,109,116,118,102,134,124,128,145,98,75,84,74,69,72,97,
Other Africa,SI3_AGG - AGFO - Food,Brazil,,,35,14,19,39,20,29,43,103,144,142,124,233,252,116,129,118,305,315,
Other Africa,SI3_AGG - AGFO - Food,China,,,106,124,42,75,172,242,257,259,271,460,516,696,852,776,998,904,652,1002,
Other Africa,SI3_AGG - AGFO - Food,"Commonwealth of Independent States (CIS), including associate and former member States",,,160,182,259,292,325,413,335,433,662,621,646,948,851,890,867,804,766,850,
Other Africa,SI3_AGG - AGFO - Food,Europe,,,6429,6462,7223,8580,9646,9709,10889,12264,13940,13730,14400,15951,16257,17365,15969,16214,17330,17835,
Other Africa,SI3_AGG - AGFO - Food,Four East Asian traders,,,144,166,126,182,196,160,161,229,236,223,334,515,868,573,740,604,663,745,
Other Africa,SI3_AGG - AGFO - Food,India,,,222,138,174,185,295,334,298,351,564,537,690,866,1163,1147,1761,2307,1898,1428,
Other Africa,SI3_AGG - AGFO - Food,Japan,,,626,504,531,478,489,521,617,474,652,537,534,669,985,940,734,606,718,719,
Other Africa,SI3_AGG - AGFO - Food,Least-developed countries,,,730,814,1197,1415,1523,1652,2118,2301,2821,3221,3969,4501,5374,5521,5591,5238,4674,5228,
Other Africa,SI3_AGG - AGFO - Food,Mexico,,,10,13,17,16,25,14,19,31,37,54,89,82,75,62,95,85,86,75,
Other Africa,SI3_AGG - AGFO - Food,Middle East,,,643,565,683,773,872,1045,1205,1352,2212,3058,3540,4079,3661,4335,3565,4146,4141,4572,
Other Africa,SI3_AGG - AGFO - Food,Non-EU south-eastern Europe,,,79,82,114,105,218,179,239,302,377,453,441,389,473,739,675,739,746,762,
Other Africa,SI3_AGG - AGFO - Food,Non-EU western Europe,,,195,188,147,155,176,224,324,308,412,317,292,351,437,405,316,224,193,274,
