Indicator,  Merchandise exports by product group and destination – annual (Million US dollar),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,SI3_AGG - AGFO - Food,United States of America,,,629,701,781,875,1012,1188,1068,1002,1408,1569,1628,2015,2630,1683,1838,2004,2208,2362,
Africa,SI3_AGG - AGFOFI - Fish,World,,,2832,2844,3009,3458,3412,3692,4077,4482,4635,4544,4267,4818,5123,5455,5447,5082,5462,6286,
Africa,SI3_AGG - AGFOFI - Fish,Africa,,,184,220,178,316,314,369,379,512,423,472,600,659,807,836,982,888,867,864,
Africa,SI3_AGG - AGFOFI - Fish,Asia,,,566,470,556,499,470,517,561,501,596,544,625,678,855,804,803,790,860,968,
Africa,SI3_AGG - AGFOFI - Fish,Australia and New Zealand,,,34,35,31,47,34,42,39,53,35,34,46,52,49,50,35,37,30,31,
Africa,SI3_AGG - AGFOFI - Fish,Brazil,,,0,0,0,4,1,2,13,13,25,20,30,13,27,30,16,9,46,50,
Africa,SI3_AGG - AGFOFI - Fish,China,,,21,21,24,41,27,25,24,22,20,22,40,63,96,108,89,85,88,141,
Africa,SI3_AGG - AGFOFI - Fish,"Commonwealth of Independent States (CIS), including associate and former member States",,,1,1,1,6,1,7,10,13,9,7,14,41,48,72,82,59,80,96,
Africa,SI3_AGG - AGFOFI - Fish,Europe,,,1946,1975,2122,2441,2433,2589,2894,3215,3330,2966,2749,3144,2935,3389,3258,3061,3321,3955,
Africa,SI3_AGG - AGFOFI - Fish,Four East Asian traders,,,52,43,75,87,87,81,84,112,117,119,158,180,155,195,246,231,277,279,
Africa,SI3_AGG - AGFOFI - Fish,India,,,0,1,0,0,0,3,6,0,0,0,0,1,1,1,9,55,6,2,
Africa,SI3_AGG - AGFOFI - Fish,Japan,,,439,347,399,296,279,318,367,263,376,313,302,331,487,342,312,251,350,391,
Africa,SI3_AGG - AGFOFI - Fish,Least-developed countries,,,45,48,59,70,105,166,184,173,192,186,245,266,290,302,357,305,270,291,
Africa,SI3_AGG - AGFOFI - Fish,Mexico,,,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,2,2,2,
Africa,SI3_AGG - AGFOFI - Fish,Middle East,,,48,84,50,86,66,74,108,108,116,126,127,125,136,136,147,129,143,171,
Africa,SI3_AGG - AGFOFI - Fish,Non-EU south-eastern Europe,,,0,2,1,1,3,11,15,11,13,9,10,10,15,17,23,27,24,26,
Africa,SI3_AGG - AGFOFI - Fish,Non-EU western Europe,,,9,19,21,10,10,25,14,6,5,8,12,12,14,36,17,9,6,6,
Africa,SI3_AGG - AGFOFI - Fish,North America,,,77,78,89,88,81,80,75,78,76,77,78,82,97,112,108,107,113,142,
Africa,SI3_AGG - AGFOFI - Fish,Other Africa,,,129,163,145,273,252,303,314,456,364,388,458,531,639,681,829,747,716,724,
Africa,SI3_AGG - AGFOFI - Fish,Other Asia,,,20,22,27,27,42,49,40,51,47,56,79,50,67,108,112,131,110,125,
Africa,SI3_AGG - AGFOFI - Fish,Other CIS,,,0,0,0,0,1,3,2,1,3,1,6,15,21,19,15,7,8,9,
Africa,SI3_AGG - AGFOFI - Fish,Russian Federation,,,1,0,1,5,0,4,8,13,7,6,8,26,28,53,67,52,72,86,
Africa,SI3_AGG - AGFOFI - Fish,Six East Asian traders,,,70,62,93,104,116,117,109,147,148,154,197,204,182,239,279,301,325,339,
Africa,SI3_AGG - AGFOFI - Fish,South Africa,,,54,58,33,43,62,66,65,56,59,84,143,129,168,155,153,141,152,140,
Africa,SI3_AGG - AGFOFI - Fish,South and Central America and the Caribbean,,,3,7,8,13,14,12,24,28,47,330,62,78,233,87,42,29,62,74,
Africa,SI3_AGG - AGFOFI - Fish,United States of America,,,74,76,86,83,73,74,71,74,72,72,73,76,87,101,100,97,102,112,
Africa,SI3_AGG - AGFOOF - Other food products,World,,,10848,11114,11837,14541,17297,18276,19634,22383,28331,31142,34703,40995,43698,43832,43455,43894,44705,48076,
Africa,SI3_AGG - AGFOOF - Other food products,Africa,,,2478,2743,2832,3433,3839,4169,4653,5411,7184,8009,9187,11439,12521,13275,13689,13642,12661,14295,
Africa,SI3_AGG - AGFOOF - Other food products,Asia,,,1175,1233,907,1243,1694,1930,2015,2236,2666,2971,3856,4969,5978,5971,7061,6496,7032,7689,
Africa,SI3_AGG - AGFOOF - Other food products,Australia and New Zealand,,,42,43,77,108,135,139,126,162,172,170,198,155,133,166,146,120,133,161,
Africa,SI3_AGG - AGFOOF - Other food products,Brazil,,,36,18,20,39,22,31,35,96,126,128,107,232,239,99,133,119,268,275,
Africa,SI3_AGG - AGFOOF - Other food products,China,,,90,114,30,51,164,252,262,286,290,476,566,732,856,763,1042,954,721,1091,
Africa,SI3_AGG - AGFOOF - Other food products,"Commonwealth of Independent States (CIS), including associate and former member States",,,167,204,281,345,393,462,404,525,789,752,818,1102,983,1028,976,934,843,972,
Africa,SI3_AGG - AGFOOF - Other food products,Europe,,,5438,5433,6117,7562,8968,8942,9595,11094,12943,12838,13979,15161,15454,16439,15147,15406,16386,16525,
Africa,SI3_AGG - AGFOOF - Other food products,Four East Asian traders,,,209,239,176,219,272,247,252,317,320,308,534,925,1026,790,1092,745,787,1002,
Africa,SI3_AGG - AGFOOF - Other food products,India,,,223,144,177,187,309,343,295,368,573,552,699,873,1175,1164,1764,2268,1911,1461,
Africa,SI3_AGG - AGFOOF - Other food products,Japan,,,332,354,260,331,381,446,421,396,474,387,442,534,676,951,634,450,486,613,
Africa,SI3_AGG - AGFOOF - Other food products,Least-developed countries,,,1042,1155,1583,1846,1868,1904,2511,2704,3547,3899,4670,5314,6209,6589,7045,6391,5896,6598,
Africa,SI3_AGG - AGFOOF - Other food products,Mexico,,,9,13,17,16,24,14,19,38,38,55,89,464,391,157,95,85,84,74,
Africa,SI3_AGG - AGFOOF - Other food products,Middle East,,,763,614,752,851,998,1212,1456,1483,2451,3344,3906,4412,3972,4664,3963,4529,4576,5014,
Africa,SI3_AGG - AGFOOF - Other food products,Non-EU south-eastern Europe,,,88,84,119,109,219,171,226,299,386,448,447,395,469,731,665,728,745,769,
Africa,SI3_AGG - AGFOOF - Other food products,Non-EU western Europe,,,212,198,163,184,219,252,362,360,462,366,340,390,467,448,359,256,236,320,
Africa,SI3_AGG - AGFOOF - Other food products,North America,,,670,719,811,937,1162,1301,1236,1190,1636,1822,1973,2757,3238,2096,2171,2411,2599,2935,
Africa,SI3_AGG - AGFOOF - Other food products,Other Africa,,,2012,2211,2524,2976,3334,3622,3967,4699,6571,7323,8287,10111,10712,11420,11960,12033,11043,12431,
Africa,SI3_AGG - AGFOOF - Other food products,Other Asia,,,279,339,188,347,432,503,659,707,837,1078,1415,1748,2112,2138,2382,1959,2994,3360,
Africa,SI3_AGG - AGFOOF - Other food products,Other CIS,,,10,20,13,32,76,69,75,93,178,155,162,202,213,174,158,148,121,97,
Africa,SI3_AGG - AGFOOF - Other food products,Russian Federation,,,157,184,268,313,317,393,329,433,610,597,657,900,770,854,818,786,722,875,
Africa,SI3_AGG - AGFOOF - Other food products,Six East Asian traders,,,238,279,212,283,399,402,450,602,642,571,862,1493,1735,1548,1771,1332,1748,2168,
Africa,SI3_AGG - AGFOOF - Other food products,South Africa,,,465,532,308,457,505,547,686,712,613,686,900,1328,1809,1856,1729,1609,1618,1863,
Africa,SI3_AGG - AGFOOF - Other food products,South and Central America and the Caribbean,,,81,49,50,69,48,58,67,151,295,1204,563,910,1300,176,231,212,383,369,
Africa,SI3_AGG - AGFOOF - Other food products,United States of America,,,555,625,695,792,940,1114,997,928,1336,1497,1555,1939,2543,1582,1738,1906,2106,2250,
Africa,SI3_AGG - AGRA - Raw materials,World,,,4533,4085,4285,5730,6389,6591,7012,7739,8576,7427,9714,11599,19170,14208,11474,9423,9558,10004,
Africa,SI3_AGG - AGRA - Raw materials,Africa,,,650,372,496,915,924,861,936,1014,961,944,1140,1478,1420,1144,1138,1032,893,988,
Africa,SI3_AGG - AGRA - Raw materials,Asia,,,1443,1410,1509,2089,2410,2314,2599,2506,3040,2748,3869,4700,7695,6345,6122,4607,5216,5397,
Africa,SI3_AGG - AGRA - Raw materials,Australia and New Zealand,,,8,11,14,12,13,11,12,19,34,16,89,170,241,182,210,106,98,99,
Africa,SI3_AGG - AGRA - Raw materials,Brazil,,,49,25,19,12,7,4,21,34,16,19,27,35,95,80,45,29,27,30,
Africa,SI3_AGG - AGRA - Raw materials,China,,,288,289,347,626,690,880,908,948,1069,1104,1478,1879,3324,2452,2622,1954,2180,2591,
Africa,SI3_AGG - AGRA - Raw materials,"Commonwealth of Independent States (CIS), including associate and former member States",,,3,3,7,7,8,11,26,26,35,24,50,96,57,226,63,60,57,69,
Africa,SI3_AGG - AGRA - Raw materials,Europe,,,2074,2056,2033,2399,2631,2948,2998,3631,3794,3078,3451,3931,7786,5379,3373,3049,2752,2814,
Africa,SI3_AGG - AGRA - Raw materials,Four East Asian traders,,,267,257,223,291,279,228,214,210,224,261,317,426,739,553,419,366,317,319,
Africa,SI3_AGG - AGRA - Raw materials,India,,,281,284,274,313,302,243,218,349,407,308,464,481,873,590,537,619,989,638,
Africa,SI3_AGG - AGRA - Raw materials,Japan,,,249,239,252,309,398,387,332,310,363,232,257,404,975,853,699,207,227,268,
Africa,SI3_AGG - AGRA - Raw materials,Least-developed countries,,,262,127,205,403,410,431,416,413,392,376,520,484,587,472,620,515,589,607,
Africa,SI3_AGG - AGRA - Raw materials,Mexico,,,6,7,6,4,2,3,4,7,13,11,17,14,24,21,31,20,17,46,
Africa,SI3_AGG - AGRA - Raw materials,Middle East,,,61,68,60,92,100,113,119,145,226,249,347,369,301,292,270,274,202,220,
Africa,SI3_AGG - AGRA - Raw materials,Non-EU south-eastern Europe,,,83,52,81,75,85,87,96,121,110,110,141,202,141,240,155,150,128,179,
Africa,SI3_AGG - AGRA - Raw materials,Non-EU western Europe,,,99,85,66,90,136,124,93,156,119,265,158,146,149,134,151,109,126,126,
Africa,SI3_AGG - AGRA - Raw materials,North America,,,212,130,144,176,216,264,256,309,351,239,352,524,563,701,423,338,355,441,
Africa,SI3_AGG - AGRA - Raw materials,Other Africa,,,485,266,340,776,669,653,683,709,685,746,865,953,892,712,823,801,688,753,
Africa,SI3_AGG - AGRA - Raw materials,Other Asia,,,350,331,399,537,728,565,915,669,944,827,1265,1341,1542,1716,1635,1355,1406,1481,
Africa,SI3_AGG - AGRA - Raw materials,Other CIS,,,0,1,1,2,3,4,17,16,23,11,25,66,29,183,25,20,24,25,
Africa,SI3_AGG - AGRA - Raw materials,Russian Federation,,,3,2,7,5,5,7,10,10,12,13,24,30,28,44,38,40,32,44,
Africa,SI3_AGG - AGRA - Raw materials,Six East Asian traders,,,431,408,368,495,514,418,399,386,566,516,689,1003,1405,1396,1143,995,779,962,
Africa,SI3_AGG - AGRA - Raw materials,South Africa,,,166,106,156,139,255,207,253,305,276,198,274,526,527,432,315,232,205,236,
