country_1,Genre_1,Genre_2,Genre_3,imdb_title_id,title,year,date_published,duration,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
USA,Action, Fantasy, Horror,tt0146675,End of Days,1999,1999-12-10,122,"English, Latin",Peter Hyams,Andrew W. Marlowe,Beacon Communications,5.8,101768,533,168,5.8,101768,5.8,73026,5.9,7373,5.8,49000,5.7,14237,5.7,7095,5.9,841,5.6,4341,5.7,1660,5.4,645,5.7,19564,5.8,51266
Italy,Horror, War,,tt0147310,SS Lager 5: L'inferno delle donne,1977,1977-01-11,96,Italian,Sergio Garrone,"Tecla Romanelli, Vinicio Marinucci",Società Europea Films Internazionali Cinematografica (SEFI),4.1,516,7,21,4.1,516,4.1,421,5.3,62,3.9,214,4.2,138,5.5,15,0.0,0,5.2,9,5.7,6,3.7,47,4.9,94,3.9,320
Italy,Drama, Horror,,tt0147374,Le scomunicate di San Valentino,1974,1974-03-26,93,Italian,Sergio Grieco,"Sergio Grieco, Sergio Grieco",Claudia Cinematografica,4.7,553,16,33,4.7,553,4.7,406,4.4,23,4.9,184,4.5,188,4.8,29,4.5,2,5.4,11,4.4,16,4.0,55,4.8,165,4.6,250
USA,Horror,,,tt0147972,Ceremony,1994,1994-01-01,74,English,Joe Castro,"Rudy Balli, Joe Castro",,3.3,113,10,3,3.3,113,3.4,82,3.2,6,4.0,52,2.3,23,3.2,13,3.5,2,3.0,8,2.3,3,2.3,9,4.6,33,3.2,56
Sweden,Horror,,,tt0148710,Scorched Heat,1987,2010-10-30,90,English,Peter Borg,"Peter Borg, Johan Dernelius",Cobra Productions,3.6,164,1,3,3.6,164,3.7,130,3.7,17,3.4,79,4.5,30,1.6,6,1.7,3,1.0,2,10.0,1,2.6,12,4.5,10,3.5,117
Sweden,Horror,,,tt0149016,Sounds of Silence,1989,1989-05-01,108,English,Peter Borg,"Peter Borg, Marc Fiorini",Cobra Entertainment,5.3,116,4,1,5.3,116,5.2,74,5.0,3,5.1,42,5.4,26,5.3,22,5.3,3,5.2,5,5.4,12,4.8,13,4.6,37,5.5,51
USA,Comedy, Horror,,tt0150855,HauntedWeen,1991,1991-01-01,88,English,Doug Robertson,Doug Robertson,Hometown Productions Of Los Angeles,5.1,160,7,11,5.1,160,5.1,117,4.9,10,5.1,74,5.0,31,6.5,12,7.5,2,7.5,7,7.0,2,3.7,17,5.7,79,4.3,40
USA,Horror,,,tt0150931,Hollow Gate,1988,1988-10-20,76,English,Ray Di Zazzo,Ray Di Zazzo,City Lights Entertainment Group,3.3,222,10,13,3.3,222,3.4,155,3.7,10,3.4,102,3.4,36,2.7,28,2.8,4,2.7,18,2.9,5,3.0,24,3.7,90,2.9,81
USA,Fantasy, Horror,,tt0151022,Ice from the Sun,1999,1999-12-01,120,English,Eric Stanze,Eric Stanze,Wicked Pixel Cinema,4.1,568,13,19,4.1,568,4.1,370,4.6,13,4.4,214,3.6,139,4.8,91,4.0,5,4.6,50,5.5,36,3.3,24,4.3,315,4.0,136
South Korea,Horror, Mystery,,tt0151073,Iodo,1977,1977-10-04,110,Korean,Ki-young Kim,"Yu-sang Ha, Chung-Joon Lee",Dong-a Exports Co. Ltd.,6.6,259,2,11,6.6,259,6.7,184,6.9,26,6.8,103,6.2,51,6.4,23,6.3,6,6.1,11,7.1,5,5.9,29,6.7,34,6.7,152
USA,Horror, Mystery, Thriller,tt0151239,Kolobos,1999,1999-09-28,84,English,"Daniel Liatowitsch, David Todd Ocvirk","Nne Ebong, Daniel Liatowitsch",Armitage Pictures,5.3,1601,74,41,5.3,1601,5.2,1096,5.4,90,5.2,684,5.0,297,5.7,187,5.9,21,5.8,118,5.3,43,4.7,75,5.3,398,5.2,825
USA,Horror, Thriller,,tt0151305,Freak,1999,1999-10-12,84,English,Tyler Tharpe,"Linda McCormick, Tyler Tharpe",Innerworld Pictures,3.4,199,14,19,3.4,199,3.5,127,2.7,7,3.3,70,3.9,49,1.2,26,10.0,1,1.3,11,1.0,14,3.3,15,3.8,60,2.9,84
USA,Comedy, Horror,,tt0153642,The Sadistic Hypnotist,1969,1969-01-01,69,English,Greg Corarito,Greg Corarito,Ciao Productions,3.6,126,3,5,3.6,126,3.6,98,2.3,7,3.6,47,4.0,41,3.5,5,0.0,0,2.0,2,3.3,3,3.5,20,3.4,36,3.5,64
Japan,Drama, Horror,,tt0154683,Jigoku,1960,1960-07-30,101,Japanese,Nobuo Nakagawa,"Nobuo Nakagawa, Ichirô Miyagawa",Shintoho Film Distribution Committee,6.8,3049,39,60,6.8,3049,6.8,2322,7.0,462,6.8,1275,6.6,518,6.9,238,6.7,64,6.9,114,7.2,54,6.4,113,6.9,1100,6.8,1278
Japan,Horror,,,tt0155278,Tôkaidô Yotsuya kaidan,1959,1959-07-11,76,Japanese,Nobuo Nakagawa,"Masayoshi Ônuki, Yoshihiro Ishikawa",Shintoho Film Distribution Committee,7.0,1107,11,26,7.0,1107,7.0,811,7.1,130,7.0,401,6.8,264,7.1,132,7.0,20,7.0,67,7.4,40,6.1,97,7.1,391,7.0,499
Italy,Horror, Mystery, Thriller,tt0155360,I vizi morbosi di una governante,1977,1977-04-02,95,Italian,Filippo Walter Ratti,Ambrogio Molteni,Gi.Ba.Si. Cinematografica,4.7,105,4,5,4.7,105,4.7,83,5.0,3,4.4,42,5.1,36,5.2,4,0.0,0,5.3,3,5.0,1,4.6,16,4.9,16,4.6,69
Italy,Drama, Horror,,tt0155578,Byleth (Il demone dell'incesto),1972,1972-05-31,80,Italian,Leopoldo Savona,"Norbert Blake, Norbert Blake",Agata Film,4.8,227,7,17,4.8,227,4.8,187,5.8,7,4.8,99,4.8,74,4.7,11,3.0,2,4.2,5,6.3,3,4.1,30,5.2,47,4.7,139
Italy,Horror,,,tt0155681,Dove comincia la notte,1991,1991-09-10,94,Italian,Maurizio Zaccaro,Pupi Avati,Duea Film,6.5,114,2,2,6.5,114,6.3,83,5.0,4,6.4,38,6.2,39,6.8,9,10.0,1,7.8,4,7.0,4,5.3,6,5.8,5,6.4,86
USA,Horror, Mystery, Thriller,tt0155975,Psycho,1998,1999-01-08,105,English,Gus Van Sant,"Robert Bloch, Joseph Stefano",Universal Pictures,4.6,43792,613,127,4.6,43792,4.5,28217,4.2,4044,4.6,17629,4.6,5800,4.8,6321,4.7,1380,4.8,3689,4.9,1035,4.6,509,4.4,12135,4.6,19192
USA,Comedy, Horror,,tt0156100,St. Andrew's Girls,2003,2003-08-28,76,English,Andrew Warren,Andrew Warren,Lincoln Films,3.5,121,0,0,3.5,121,3.4,77,1.7,3,3.7,46,3.4,26,3.7,19,3.5,2,3.5,10,7.1,7,3.5,6,3.9,13,3.5,78
Italy,Horror,,,tt0156329,La bambola di Satana,1969,1969-06-12,90,Italian,Ferruccio Casapinta,"Ferruccio Casapinta, Ferruccio Casapinta",Cinediorama,5.2,218,4,19,5.2,218,5.2,183,4.7,13,5.2,101,5.2,63,5.7,6,0.0,0,5.2,4,7.0,2,4.5,26,5.5,44,5.1,130
USA,Horror, Thriller,,tt0156372,Bloodthirsty,1999,1999-04-27,98,English,Jeff Frey,A. Gregory,EightCount Productions Inc.,3.0,243,6,4,3.0,243,2.9,174,1.7,15,2.9,96,3.4,61,3.8,28,1.2,11,7.7,9,5.2,6,4.1,15,4.0,68,2.5,126
USA,Thriller, Horror,,tt0156417,Cold Hearts,1999,1999-01-01,90,English,Robert A. Masciantonio,Robert A. Masciantonio,How Bad Do You Want It? Inc.,4.7,352,21,12,4.7,352,4.6,219,5.1,9,4.8,115,4.4,95,4.8,51,8.0,3,4.7,34,6.7,13,4.1,31,4.8,170,4.3,87
India,Horror, Thriller,,tt0156658,Junoon,1992,1992-09-18,123,Hindi,Mahesh Bhatt,Robin Bhatt,NH Studioz,5.6,420,5,2,5.6,420,5.7,321,6.1,63,5.6,227,4.5,16,5.1,24,7.0,4,5.3,16,3.0,2,4.7,7,5.7,35,5.7,244
Italy,Horror, Mystery,,tt0156706,Killing Birds: Raptors,1987,1988-08-19,92,"English, Italian","Claudio Lattanzi, Joe D'Amato","Claudio Lattanzi, Sheila Goldberg",Filmirage,3.3,1127,32,35,3.3,1127,3.2,871,3.0,81,3.3,553,3.2,220,3.3,73,2.0,19,4.2,34,2.9,19,2.8,74,3.5,344,3.1,541
